"","x"
"1",0.0424927003220219
"2",-0.112398411156562
"3",0.532084206665672
"4",0.242616396778793
"5",-0.662065711183054
"6",0.430015056137002
"7",0.12982739907028
"8",0.253085797754117
"9",0.365379737048002
"10",-0.336427017952751
"11",0.26741563857361
"12",1.06562918355026
"13",-0.326378696113672
"14",0.378834377873417
"15",0.279058105187566
"16",-0.280392183995993
"17",-0.249505518282575
"18",0.719976286463378
"19",-0.103866944015714
"20",0.0963743146718983
"21",-0.0627641327233306
"22",0.199603000762977
"23",-0.206036739452898
"24",-0.0240888548276104
"25",-0.772923688996379
"26",0.0259997340397433
"27",-0.246506782662706
"28",0.147848982043556
"29",-0.13723084778227
"30",0.00707322278839939
"31",-0.0949721993985904
"32",-0.2250496110142
"33",0.6407173687846
"34",-0.434433614349359
"35",1.14845904843216
"36",-0.612257897855265
"37",1.43594527090076
"38",-0.405005384674524
"39",-0.223395479314021
"40",-0.256684881278908
"41",0.82716203937504
"42",-0.158586246221368
"43",-0.0543234815288898
"44",0.506142207714873
"45",0.0776652312917818
"46",-0.999960817750299
"47",-0.0046800687723163
"48",-0.309292576517969
"49",-0.396647721075666
"50",-0.336684600762908
"51",-0.273525787190238
"52",0.501925791245895
"53",0.674439283837089
"54",-0.64000953382935
"55",1.15478416373438
"56",0.646424311212762
"57",-0.211992165658259
"58",-0.535449824788138
"59",0.708538693456674
"60",0.0124311495527536
"61",0.166514402326428
"62",-0.875796232731048
"63",0.952095533033983
"64",0.642917088633936
"65",-0.430403336011501
"66",-0.141622032842385
"67",0.190426894826594
"68",0.306438187503026
"69",-0.1377745362024
"70",-0.430540392025101
"71",0.117268971352424
"72",0.0819458028708837
"73",0.71654912525144
"74",-0.269530159878407
"75",0.537190050997218
"76",-0.53517284890485
"77",-0.149541737749942
"78",0.370723351622793
"79",0.281941361652727
"80",-0.106290344715219
"81",0.362047617928717
"82",0.622875826687292
"83",-0.300358646297333
"84",-0.310021601841797
"85",-0.758733192342604
"86",-0.708668272717574
"87",0.286929812438323
"88",1.13921676430628
"89",-0.383991979597582
"90",-0.282915880482172
"91",-0.669160344522972
"92",-0.242587743932653
"93",-0.385295519916241
"94",0.195650818354991
"95",-0.754490188735879
"96",-0.150614848571763
"97",-0.36830916128384
"98",-1.03221165318327
"99",0.109003822727693
"100",0.889612777413731
"101",-0.263294846386721
"102",-0.169671053382274
