"","x"
"1",0.0327836365402447
"2",-0.181250086762716
"3",0.893070971847685
"4",0.630783481940526
"5",-0.186891892681579
"6",0.338329287084377
"7",0.345766972017451
"8",0.540512131853831
"9",0.668539846208503
"10",-0.0762060106547935
"11",-0.194508295734529
"12",0.469362203793835
"13",0.0403699075553448
"14",-0.0337106840435268
"15",-0.0504528463650686
"16",-0.500958546812001
"17",-0.260073158646101
"18",0.611421431395435
"19",-0.558372024014844
"20",0.576940421221302
"21",-0.19491871990828
"22",0.240844298848913
"23",0.524795448239892
"24",0.21938194013623
"25",-0.365884186785948
"26",-0.401063570779037
"27",-0.0353258044922597
"28",0.4558326461365
"29",0.10623754891143
"30",0.426241799626688
"31",0.571316204545809
"32",0.270175021554302
"33",-0.109994269922694
"34",-0.313368063544793
"35",0.52644767583898
"36",-0.54553562381323
"37",0.235144383610333
"38",0.576740959366383
"39",-0.219755604980151
"40",0.0130806767852789
"41",0.787056228563053
"42",-0.330673897772485
"43",-0.319352953354418
"44",0.342297022092538
"45",-0.818050781134538
"46",-0.609513083127382
"47",-0.0567839579004072
"48",0.187390784507961
"49",-0.109842088832998
"50",-0.375589313928025
"51",0.222567436546186
"52",-0.0400811430013306
"53",1.17187041647453
"54",-0.242301356695457
"55",0.246777234964355
"56",0.617209767988399
"57",-0.237776068332423
"58",-0.118674717260326
"59",0.208885589469439
"60",0.56461598112115
"61",0.306025530951722
"62",-0.0798756851115385
"63",0.138191786384816
"64",0.521128369180481
"65",-0.0833599738642476
"66",-0.0621706984231452
"67",-0.0904940690151506
"68",0.261983605053572
"69",-0.0366650559781547
"70",-0.0425464500362196
"71",0.237122967056749
"72",0.0957252363148342
"73",0.0926516879590551
"74",0.427979538307696
"75",0.183376581968275
"76",-0.309063891270903
"77",0.0269216578834843
"78",0.121379476447999
"79",-0.00293337092705315
"80",-0.197285144372671
"81",0.419988157921004
"82",0.938394703736677
"83",-0.73254606665359
"84",0.224044940925253
"85",0.0887510655480384
"86",-0.40053833866061
"87",0.35996885644002
"88",0.629590205812953
"89",0.0971501601489848
"90",-0.125735676358701
"91",0.232756639561075
"92",0.0237200743649097
"93",0.447148812599956
"94",-0.0471565910306708
"95",-0.138079151583021
"96",0.0985055735406632
"97",0.217901166716501
"98",0.644443641166447
"99",-0.0901434260692469
"100",0.473482518853558
"101",0.20434204030218
"102",-0.177206632272586
"103",-0.0389529974208997
"104",-0.803910484653841
"105",-0.0235033833243676
"106",0.273954774728317
"107",-0.470548436005558
"108",1.05665616537031
"109",-0.382463899014525
"110",0.548315187649379
"111",-0.129968855417246
"112",-0.359210720348656
"113",0.145776543099416
"114",-0.143161347708535
"115",-0.472682981488767
"116",-0.745378406434888
"117",0.385349336104674
"118",-0.580683127979633
"119",-0.0879976803166542
"120",0.673714256799379
"121",0.205180077105716
"122",-0.534557039074542
"123",-0.679181243568706
"124",0.133645939589336
"125",-0.0676311748357179
"126",0.0973914216895722
"127",0.553005666232444
"128",-0.0417744414467833
"129",-0.411583245586073
"130",-0.0857912903842646
"131",1.16797064466738
"132",-0.910899974495663
"133",-0.122636582781354
"134",-0.168816880923231
"135",0.525531058124344
"136",-0.509009100376353
"137",0.145455899960041
"138",-0.507440141037996
"139",0.32824077497159
"140",-0.25632772037762
"141",0.352896685558619
"142",-0.22933503002109
"143",0.475923059464172
"144",-0.628471113827352
"145",0.017685619097918
"146",-0.306062456820889
"147",-0.138384939325732
"148",0.235228554764142
"149",0.355656015867091
"150",0.106793936010519
"151",-0.160689705908815
"152",-1.13432553423882
"153",0.524019610297564
"154",-0.737042464477092
"155",-0.296540784856468
"156",0.767036952137566
"157",0.274099602765908
"158",0.171917286699525
"159",0.460738961944564
"160",0.145652257101048
"161",0.691350319016124
"162",0.269526064590558
"163",0.18663518588415
"164",-0.0624500532664101
"165",0.422299358639783
"166",0.32970991166799
"167",0.0734369849921137
"168",0.924380362917837
"169",0.0620315757029104
"170",-0.426902375376592
"171",0.539479298631328
"172",-0.378552407371735
"173",0.324101335487356
"174",0.264435742179522
"175",-0.154968628985799
"176",0.4567811454882
"177",0.690687478037034
"178",-0.351201868261782
"179",-0.341529594883511
"180",-0.742527832198988
"181",-0.661838874676661
"182",0.457836682492648
"183",-0.394955205114606
"184",0.561845839881933
"185",-0.992879608371545
"186",0.679171376153143
"187",0.0259090146706527
"188",-0.718673020745172
"189",-0.0783983205678922
"190",0.204549463732668
"191",-0.337356878294131
"192",-0.530162974361531
"193",0.0353693999847025
"194",0.462874546010561
"195",-0.965291592355129
"196",0.349909395726442
"197",0.591632449974398
"198",-0.965958876402674
"199",-1.54198952039721
"200",0.0421996505224911
"201",-0.491849312931741
"202",1.0426855396718
"203",0.060709389317978
"204",-0.0262361941698686
"205",-0.296415777709882
"206",0.711158888403041
"207",-0.169384009801178
"208",-0.307577779325193
"209",1.09882634692817
"210",0.0661327320519405
"211",0.264225999603923
"212",-0.0425105460567039
"213",0.819673514060618
"214",-0.172568316307355
"215",0.320629556901466
