"","x"
"1",0.0123773907477585
"2",-0.171269717548503
"3",0.194328317193893
"4",0.0922032433265141
"5",0.161696243008164
"6",0.183414751280354
"7",0.0450839835631811
"8",0.0530365228297232
"9",0.280299799554935
"10",-0.314832653673594
"11",0.0775637149792647
"12",-0.0358351656131983
"13",-0.201879395107412
"14",-0.0100219256455141
"15",0.028377374234557
"16",-0.0162756997594862
"17",0.157286680182478
"18",0.518530181402264
"19",0.199890636944833
"20",0.0626805440699503
"21",0.073546672428991
"22",0.0514603310855222
"23",0.103092747114705
"24",-0.0871349971769479
"25",-0.472827069871727
"26",-0.139301909315394
"27",-0.190723324738659
"28",-0.0872139127012694
"29",0.0681848738527258
"30",0.160660615830746
"31",0.143158577572276
"32",0.111949965355789
"33",-0.0457008774840837
"34",-0.269982392628826
"35",0.090778377249384
"36",-0.0988094436373963
"37",-0.0590534015853095
"38",0.202850736064763
"39",0.105064153365348
"40",0.335025178942912
"41",0.183189365796713
"42",-0.289860565735216
"43",0.0828196263911511
"44",0.283864002073766
"45",-0.0147922568238084
"46",-0.0525536071878054
"47",0.19147509475736
"48",0.10019574626101
"49",-0.235166214032864
"50",-0.250180847477596
"51",0.123535256574431
"52",0.150528438327866
"53",0.109289584763651
"54",-0.10310529603853
"55",0.0295960939753943
"56",0.520699169291184
"57",-0.20786790340442
"58",0.148554784589704
"59",0.0933332291605069
"60",0.217357334147842
"61",0.084794157053425
"62",-0.177132084735533
"63",-0.251206334260598
"64",0.18618989262615
"65",0.0540687000586892
"66",-0.0204941536567045
"67",-0.1077053109674
"68",0.26330332054037
"69",-0.124670939712182
"70",0.0409474803514538
"71",-0.121149542802168
"72",-0.0136028780735113
"73",0.0229544471729284
"74",0.10293299852095
"75",0.0182338184421269
"76",-0.14172163405164
"77",-0.0256074970549633
"78",0.00883371277538458
"79",0.05593714188233
"80",0.111979381926103
"81",0.0261940818178825
"82",0.822194419983784
"83",-0.00134532674672805
"84",-0.147776600152513
"85",-0.223506536114847
"86",-0.102982842765323
"87",-0.00463203144079571
"88",0.521522502998907
"89",-0.00649537912813969
"90",-0.111417743410213
"91",-0.125257999043939
"92",-0.0792977560449888
"93",0.419251741637281
"94",-0.09939677002723
"95",-0.0183783081005817
"96",0.102356871161941
"97",-0.36207841801386
"98",-0.0753099703795606
"99",-0.215441672993222
"100",0.23231215485975
"101",0.0534534007543908
"102",-0.0862518008235629
"103",0.272058227387912
"104",-0.104308868858245
"105",0.232927859315014
"106",-0.152176669076711
"107",0.231068665182594
"108",0.164555826142756
"109",0.00610459870437552
"110",-0.0156760247447085
"111",-0.0508034593012514
"112",0.161793574894752
"113",-0.0621552857225165
"114",0.512546440598559
"115",-0.183212870404759
"116",-0.178648946584058
"117",0.146265318709656
"118",-0.53760834757421
"119",-0.362996576004832
"120",0.302910508193269
"121",0.06324649043761
"122",0.00679779032171446
"123",-0.100818803098255
"124",0.157014879460924
"125",-0.168335600680454
"126",-0.0637808737799421
"127",-0.12775878229761
"128",-0.158428329820648
"129",0.0153654916440136
"130",0.230253775704904
"131",0.0400137110277328
"132",-0.355643836471035
"133",-0.346774716081343
"134",-0.129853278053451
"135",0.154108106015164
"136",-0.313600025165067
"137",0.139927018404514
"138",-0.0855562844599955
"139",0.108046125966561
"140",0.0718653415955082
"141",0.0144293902734915
"142",-0.0822189988204833
"143",0.0237523494829439
"144",-0.327185781463443
"145",0.0763718956209161
"146",-0.0676795451758689
"147",0.0880408376089843
"148",0.0819787242199208
"149",0.214869746721828
"150",0.139871887204412
"151",-0.0401962206733479
"152",-0.372349561810241
"153",0.313423081770139
"154",-0.116102822873428
"155",0.713110007759939
"156",0.739745842715132
"157",-0.24104180327522
"158",-0.216495924027189
"159",0.131714604218988
"160",0.250081301240824
"161",-0.140868994409404
"162",0.217219773416225
"163",0.235407127016742
"164",0.0570494584365413
"165",0.328882065148164
"166",-0.121490229516795
"167",0.145491711337566
"168",-0.0526185423394239
"169",0.604447491033998
"170",0.00280369553449233
"171",-0.020525646120948
"172",-0.213114438289157
"173",-0.0484097227439619
"174",-0.062678595860362
"175",-0.291326339821744
"176",0.0326728853778135
"177",-0.116807254766815
"178",-0.105984562012338
"179",-0.298180840861654
"180",-0.13422418951831
"181",0.109514833817947
"182",0.17793248668341
"183",0.145392205253771
"184",-0.244157514121934
"185",-0.253988733194184
"186",0.0538960570213938
"187",0.190626011500235
"188",-0.248185589504683
"189",-0.0514877284299828
"190",0.0901707889451018
"191",0.102572337197419
"192",-0.262441617733586
"193",-0.140246145932306
"194",-0.059586521747498
"195",-0.240210165159754
"196",0.0929514462213668
"197",0.27863799106731
"198",-0.36230981092478
"199",-0.527187894418384
"200",-0.204133900485719
"201",-0.175823764536812
"202",0.515295226061763
"203",0.0696636094151106
"204",0.244171801197007
"205",0.362347979639861
"206",0.108848450118787
"207",0.0103267664569042
"208",0.116344831963591
"209",0.109863189146388
"210",-0.556895626329149
"211",0.177211480838505
"212",0.0426987817604711
"213",0.637615288384323
"214",-0.125727793693251
"215",-0.062209887741588
"216",0.0711642553532101
"217",0.0344754290392686
"218",-1.49893955438993
"219",-0.308962434758048
"220",0.202986370659193
"221",0.119530931723951
"222",0.157175171341216
"223",0.150864024975439
"224",-0.166340672566767
"225",-0.212818023823068
"226",0.172289226721931
"227",0.0679019952355624
"228",0.283346566847214
"229",-0.463211679711984
"230",-0.0221179691492441
"231",-0.119549989340721
"232",-0.356234169160009
"233",-0.041048286984843
"234",0.00722932151462707
"235",-0.0635828852210061
"236",0.158530183274816
"237",-0.246602025924942
"238",-0.0111758167660767
"239",0.0269472495508971
"240",-0.194171833950028
"241",-0.0231339418092187
"242",-0.00564993139181702
"243",0.296993040512717
"244",0.0784025744352661
"245",0.0229868784918192
"246",-0.186496494092587
"247",0.240700902700782
"248",0.314897061972555
"249",-0.080549428185936
"250",0.332303814326032
"251",-0.0524143868262303
"252",0.24790125460121
"253",-0.120420624681739
"254",0.273978156827551
"255",0.133526795668558
"256",-0.0508473101975131
"257",-0.117559483677665
"258",0.0525087850177997
"259",0.235631036032359
"260",0.0524709450742229
"261",-0.0475177078494919
"262",-0.0140070885413177
"263",-0.267848432953642
"264",0.305152742198972
"265",-0.0585223990654455
"266",-0.230843607414457
"267",-0.0169991915639294
"268",-0.193359479655962
"269",-0.0905390795379262
"270",0.382805509142596
"271",0.0517867392958369
"272",0.21492385041409
"273",-0.0261080176770143
"274",-0.0679403546952155
"275",-0.130074893496312
"276",-0.165785337684023
"277",0.350181072620614
"278",0.373606975944055
"279",-0.0635265195472599
"280",0.10916430500124
"281",0.115120799351331
"282",0.339954007572278
"283",0.378850026992247
"284",-0.103810797336596
"285",0.152990057373341
"286",-0.368205137705065
"287",-0.0441206149931048
"288",-0.194280628265261
"289",0.132732852563748
"290",0.154458310265355
"291",-0.181169441489544
"292",-0.166034822351502
"293",0.0719644528430585
"294",-0.0995052331904525
"295",-0.255208749063312
"296",0.158854952059027
"297",-0.088538467888629
"298",-0.111892390034592
"299",-0.278960027518128
"300",0.0831948258574293
"301",-0.141806675422414
"302",-0.122247362888459
"303",0.116657636263579
"304",0.0702713405452329
"305",-0.10240428932709
"306",-0.0573013843433543
"307",-0.468876090721208
"308",0.129775038697607
"309",0.0415731501733738
"310",0.221336907784048
