"","x"
"1",0.0296268160753854
"2",-0.24371377840097
"3",-0.370560236786226
"4",0.0560214931870426
"5",-0.628539908631137
"6",0.155564108321936
"7",0.0700584886568336
"8",0.231954054157747
"9",0.166910304808397
"10",0.456572987675514
"11",0.787051951281615
"12",0.742700818148339
"13",0.788748129481743
"14",-0.787638632523304
"15",1.20921454781095
"16",-0.297139585044555
"17",0.15976734843386
"18",-0.635601823863919
"19",0.421953776788264
"20",-0.351722874143274
"21",-0.169682370108358
"22",0.420071018775491
"23",0.0887142380201205
"24",-0.0406356007813429
"25",-0.0702054657254294
"26",-0.577914333036812
"27",-0.147021334422259
"28",-0.343118592367905
"29",-0.331205179822348
"30",-0.164794523658209
"31",1.14344490487042
"32",0.848074631545884
"33",0.514077520409685
"34",0.376983184011031
"35",0.141741114242322
"36",-0.248697138618112
"37",-0.917901563442889
"38",-0.228602166185784
"39",-0.28581315527887
"40",0.16799246518125
"41",0.754579161339141
"42",0.388700172344663
"43",-0.635314892373763
"44",0.21112992103545
"45",-0.199429820463209
"46",-0.12172235405102
"47",0.280822560175892
"48",-0.405670332977643
"49",-0.006817660694729
"50",0.33812146394795
"51",0.82436020438093
"52",-0.313768152954353
"53",0.203603034956167
"54",0.584956901486471
"55",-0.460886357111981
"56",0.415683425772016
"57",0.292561752221467
"58",0.809984607306838
"59",-0.0897965775030585
"60",0.59311580313036
"61",0.283442092255569
"62",-0.327943014816313
"63",-0.0891506059501381
"64",0.876908636161218
"65",-0.203206848977985
"66",0.395204414031319
"67",0.673105749953116
"68",0.974856684975343
"69",-0.0487946114388933
"70",-0.0276592339166086
"71",-1.41199966197158
"72",0.897521298391688
"73",-0.144079364039392
"74",0.0905502188330587
"75",0.0498563955096643
"76",1.63154732730965
"77",0.778109466393616
"78",-0.647597892585132
"79",-0.0579814300940242
"80",1.40102778183599
"81",-0.457479517432915
"82",0.688745352435831
"83",-0.384293139470159
"84",-1.27424607066105
"85",0.547869790715716
"86",0.0337722293828975
"87",0.260021172977325
"88",-1.23409915067518
"89",0.760171452229386
"90",0.56872587193196
"91",-0.281741035144741
"92",0.653569554042349
"93",0.597592504298049
"94",0.256880269283158
"95",0.730140653218278
"96",-0.65676181558694
"97",0.232264453907206
"98",0.167656904461623
"99",-0.000174024231633041
"100",-1.10589123234227
"101",0.0817972443829262
"102",-1.30252154251243
"103",0.552039715642174
"104",-1.5156070178608
"105",0.534913855654111
"106",0.229474602712358
"107",-0.421323588779764
"108",0.271700287940199
"109",0.547008426997074
"110",-0.108424007539405
"111",-0.321879364025826
"112",-0.600722862792281
"113",0.226973559486389
"114",0.122958709944406
"115",-0.16919086199394
"116",0.386602971967982
"117",-0.324952875712938
"118",-1.78900882153329
"119",1.37488839698985
"120",-0.599155154138067
"121",0.582758008387458
"122",0.659259137078472
"123",-0.184286603934488
"124",-1.61419446335525
"125",0.309161425880191
"126",0.469353142070226
"127",0.029784065252322
"128",0.422432879211534
"129",0.792367888487057
"130",-0.266789863616367
"131",0.47114493502999
"132",0.24649437228129
"133",1.14206930791666
"134",-0.431841649028996
"135",-0.623402317494907
"136",0.0840534980972336
"137",0.353701489532753
"138",0.196183901983311
"139",0.345340623614661
"140",-0.501037794669912
"141",-0.615734677283143
"142",0.535238474271551
"143",0.525559660442205
"144",0.183130101467228
"145",-0.263454339749593
"146",0.676521902868508
"147",-0.212070296400576
"148",0.123972248208787
"149",-0.586510282490458
"150",0.220078938858464
"151",-0.292301009821415
"152",0.435665747959106
"153",-0.275217261338717
"154",0.266896413947727
"155",-0.0741749442588997
"156",-0.285530189434539
"157",-1.21688722262486
"158",-0.13279053159102
"159",0.289193113787725
"160",-0.325220299488258
"161",-0.583009538317448
"162",0.509914732415119
"163",0.473954988095834
"164",-0.0173642479276026
"165",-0.710895951835823
"166",-0.0438165933810808
"167",0.0185687585115346
"168",0.0259876974830959
"169",-0.0547371376520687
"170",0.476412544232915
"171",0.337283624970759
"172",0.300974674483804
"173",0.492211909428995
"174",0.29264434831741
"175",0.14863547548137
"176",-0.198272250879278
"177",0.155526316779515
"178",0.828550887997039
"179",1.55396629660774
"180",0.274377880670272
"181",-0.420218648784569
"182",0.378061858187664
"183",-0.597234886326561
"184",-0.95747811805024
"185",-0.570213239834956
"186",-0.227164005580988
"187",-0.613028677521704
"188",0.372171450782425
"189",0.937111504769376
"190",0.112764705343182
"191",0.0769364629352722
"192",0.671350290199108
"193",-0.591139833742744
"194",-1.35601122842691
"195",0.24064178635571
"196",1.158094201506
"197",-0.0502251134040606
"198",0.597266932195708
"199",-0.199266194282025
"200",0.860683986048841
"201",0.975495094306474
"202",0.17890477014334
"203",-0.00592735418057799
"204",0.61784621469652
"205",-0.57059532772714
"206",-0.345766688920968
"207",1.24143733945542
"208",0.116070302773082
"209",0.343638505725266
"210",-0.856624812812704
"211",-0.261591698047816
"212",0.439868591265196
"213",-0.124480575154386
"214",-0.522442406597378
"215",-0.0934799490716571
"216",-0.666568437759523
"217",0.672993396379852
"218",0.499905710268941
"219",-0.933625062174286
"220",0.292006882881445
"221",0.222749790676112
"222",0.345830835928219
"223",0.356804158401005
