"","x"
"1",0.0533849831554818
"2",-0.237159558789223
"3",1.32713920465368
"4",0.284365214517379
"5",-0.53911469908482
"6",0.547400560624347
"7",0.036597485866416
"8",1.28446323423585
"9",-0.51361844961837
"10",-0.121883557011444
"11",0.00892446597725183
"12",-0.161375263608541
"13",-0.77081155199842
"14",0.00673680711177127
"15",-0.154719259703157
"16",-0.099009997625366
"17",-0.440856685843052
"18",0.202939010105517
"19",-1.08176056936526
"20",0.123234082808658
"21",0.358235895218321
"22",-0.379045030104983
"23",0.119363559276934
"24",0.0660014807294047
"25",-0.0333349898641799
"26",-0.486717573522021
"27",-0.256880398587654
"28",0.171061540866617
"29",-0.0328542985256064
"30",0.0849072720478787
"31",0.583749447896516
"32",0.443044462716692
"33",-1.00143298828691
"34",-0.450207820812381
"35",0.46305953993636
"36",-0.96506153950417
"37",0.389165129670289
"38",-0.0862659765474234
"39",0.0645450428451468
"40",0.431874373596465
"41",1.02856849856292
"42",-0.481829405804213
"43",0.0281250801292146
"44",0.163878130118732
"45",-0.426275188828647
"46",-0.826993003374916
"47",0.0634327198038349
"48",0.123378332813587
"49",-0.107876907074015
"50",-0.787759659165893
"51",-0.216330270296297
"52",-0.405083837662843
"53",0.863569573815475
"54",-0.276820964911906
"55",0.191733257478695
"56",0.701392940318655
"57",-0.154308418830361
"58",-0.392388769017828
"59",0.374368779019669
"60",0.0488735165184693
"61",-0.0245378129857414
"62",-0.123044083560259
"63",0.231450180385679
"64",-0.0292833767575615
"65",0.224578353531328
"66",-0.107209521745347
"67",0.370371930017626
"68",0.23976942337849
"69",0.474875229732483
"70",-0.199500283123086
"71",0.221796563360193
"72",0.236775397937002
"73",0.536791607009278
"74",-0.331048814485271
"75",0.18027634951595
"76",-0.401364916962692
"77",-0.346822157681409
"78",0.150546696101145
"79",0.327372001892634
"80",-0.526015467009671
"81",0.143718720873913
"82",0.147216296026386
"83",-0.0892040309675579
"84",0.238883396633319
"85",-0.135832120918259
"86",-0.118871505806709
"87",-0.31812368139979
"88",0.473570383593881
"89",0.396338640265348
"90",-0.0425945841256237
"91",0.0506749345566249
"92",-0.345258431851725
"93",0.568113923946761
"94",0.100307579785017
"95",0.137117252238617
"96",-0.124561852691386
"97",0.0269694407175649
"98",0.890675302078421
"99",-0.0126414961566255
"100",0.782441135496249
"101",0.0465287577509628
"102",-1.44793991056527
"103",0.139665509252083
"104",-1.51891080807797
"105",-0.0883976584821369
"106",0.0812436549634015
"107",-0.900998720796032
"108",-0.149084851965306
"109",-0.105767338422197
"110",0.363778304823683
"111",-0.300648129849755
"112",-0.46055384632578
"113",-0.377991571125435
"114",0.90770242991352
"115",-0.690806976730229
