"","x"
"1",0.596889711684639
"2",-1.69630547287261
"3",9.00142277534746
"4",16.4157509104716
"5",-14.9891656706478
"6",11.8995018036089
"7",1.10694674477622
"8",7.12615692942597
"9",10.073833909569
"10",5.13453500840512
"11",-2.56068619332109
"12",-0.684346875385359
"13",-4.72570547913381
"14",3.13589245109563
"15",-5.37817878522787
"16",1.16955784435413
"17",-9.92056809208873
"18",9.46429690021023
"19",-12.8964330977819
"20",7.19198811682145
"21",-9.69194668774833
"22",7.51269550533084
"23",11.0800841276572
"24",-4.54628378463872
"25",-0.0357301524459217
"26",-12.7624030381706
"27",-13.8625749190168
"28",-2.94011084746239
"29",-5.42925792723452
"30",7.69169741672351
"31",-4.85451918170747
"32",0.748193322331417
"33",-16.1129410081088
"34",-20.1258337095788
"35",8.54610970838917
"36",-0.294243811738966
"37",-6.15316286566065
"38",-5.44975853505821
"39",21.8742909031197
"40",-8.70580678535555
"41",13.5814954256919
"42",47.3265238355435
"43",-5.06030118695696
"44",12.4742114325322
"45",-9.99129230026062
"46",-4.19087513671445
"47",-0.793979083107502
"48",7.777168414073
"49",-4.09894774114457
"50",-13.2914289697346
"51",2.77972097294094
"52",-3.42506321554606
"53",10.7409620364176
"54",8.52349139858268
"55",3.07219917737586
"56",2.43441444807706
"57",-1.67013247462717
"58",-2.59228756629761
"59",21.8648747313749
"60",5.17644861951806
"61",-2.5855989326285
"62",5.76625684711723
"63",-4.09917059288466
"64",1.34666582103512
"65",-0.0163867909744795
"66",-4.93546078799272
"67",-32.4942704419116
"68",0.970417738478204
"69",0.359259336872128
"70",-12.859656648218
"71",1.24174437448687
"72",2.43205900820112
"73",14.9711105189978
"74",-7.55062039040047
"75",4.7856876827226
"76",-12.2610975623292
"77",0.0777468054892552
"78",-15.1454389632797
"79",9.12845859275842
"80",-2.84232054202823
"81",11.4632661719189
"82",16.5004533261645
"83",8.59263181767926
"84",-0.556147322531729
"85",10.0416464411878
"86",-0.377938289429721
"87",-5.06971876719365
"88",3.19291034348907
"89",1.6920998587143
"90",7.33188803197379
"91",-0.288076100400644
"92",4.84079427894164
"93",1.7922569874944
"94",2.9422829355259
"95",-1.4768495736289
"96",1.46682536412084
"97",7.3061501946321
"98",38.5391177246444
"99",-18.064715409807
"100",-1.21650591794582
"101",-4.06246526524535
"102",-8.83623153064354
"103",1.11241532613303
"104",-6.7420188901034
"105",12.7300385599739
"106",0.654969640005106
"107",-3.47363723881915
"108",10.7892339431606
"109",-5.89255816689683
"110",8.25021318535266
"111",0.0107797605854785
"112",1.70206105489342
"113",-3.28198383982294
"114",1.81832734399336
"115",-15.4158509184628
"116",-3.0333899882022
"117",1.34183118851831
"118",-13.8952920897913
"119",8.18928545494305
"120",15.8747135797522
"121",-9.01214540577678
"122",7.91691067436784
"123",17.7286554064581
"124",2.57629939010508
"125",0.938309411536352
"126",0.856112819222403
"127",2.38464384136864
"128",4.25263834966256
"129",-3.2359956176864
"130",-5.80887215879238
"131",-1.52555815471328
"132",0.418236352622557
"133",-16.9606120386535
"134",-10.8333006423884
"135",4.14602600185901
"136",-4.99266304852642
"137",13.856317766925
"138",-4.35162812492399
"139",-0.492757382785499
"140",0.481626758540301
"141",-6.71945567564103
"142",8.40389386133063
"143",8.99536676145635
"144",-8.23167942906275
"145",3.98256369329647
"146",-8.3252504119065
"147",4.28473196597326
"148",-1.03160179521967
"149",22.8304590326029
"150",12.3440710128621
"151",8.2744195483325
"152",-31.6055515059985
"153",14.1593008879705
"154",-13.5971233880671
"155",-17.3901096956627
"156",-4.72445777137909
"157",6.97745220177808
"158",9.68622234866177
"159",-3.18136311975729
"160",10.8951791226826
"161",-11.1313009050072
"162",-0.0810525905650366
"163",-3.33170488835981
"164",-1.6605287181626
"165",13.8910815118775
"166",14.9722151566403
"167",0.402971691331913
"168",-0.923950056522926
"169",11.0965901238044
"170",1.39036690642524
