date,open,high,low,adj close,volume,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
2010-01-12,40.413333892822266,40.52773666381836,39.90804672241211,30.09436798095703,4730065,0.10169135451733524,30.887069225865297,28.11293894848599,81.64243418393606,77.76018886541497,68.95941799176312,29.500004087175643,29.500004087175643
2010-01-13,40.19405746459961,40.51820373535156,39.888980865478516,30.201412200927734,4298333,0.10952810176544858,30.964301477442305,28.211058725347,82.67079114858457,68.33045434889388,67.69489950556644,29.587680101394653,29.587680101394653
2010-01-14,40.270328521728516,40.73748016357422,40.15592575073242,30.379823684692383,3598395,0.1221400282129963,31.067488318031568,28.283903792157236,84.19711925831182,76.18930651798874,70.41688607709045,29.675696055094402,29.675696055094402
2010-01-15,40.556339263916016,40.81374740600586,40.241729736328125,30.42264175415039,6009527,0.13151512235700125,31.14503219519293,28.355749054807074,84.53529186774327,73.85650429389074,71.31549762150073,29.750390625,29.750390625
2010-01-19,40.72794723510742,41.195098876953125,40.49913787841797,30.579639434814453,5475736,0.14480946374789738,31.240194940549827,28.411358820325525,85.69631164153432,87.03597652954302,75.32218842624508,29.825776880437676,29.825776880437676
2010-01-20,40.58494186401367,40.68027877807617,39.94618225097656,30.229957580566406,4842718,0.13337774438483052,31.228093579971127,28.490823630925686,73.05850302113066,45.1175091623346,44.11963029886554,29.859458605448406,29.859458605448406
2010-01-21,40.38473129272461,40.52773666381836,38.78307342529297,29.066715240478516,7782607,0.0574209302794948,31.18066200591567,28.416294687293465,48.46357885393726,-25.699286912097087,2.929921316694295,29.79847834660457,29.79847834660457
2010-01-22,38.67820358276367,39.16442108154297,37.99177551269531,28.460121154785156,7262347,-0.035335405624607574,31.211273530648622,28.19448927801488,41.01506906490862,-95.78849853170793,14.782493391516171,29.70288140433175,29.70288140433175
2010-01-25,38.411258697509766,38.77354049682617,38.21105194091797,28.702754974365234,3230017,-0.09043848975594315,31.178757208623395,28.09365540937791,44.54198151577054,-84.68474390540948,14.78249339151616,29.636206309000652,29.636206309000652
2010-01-26,38.18244934082031,38.57332992553711,37.85830307006836,28.524349212646484,2911463,-0.14193390687240282,31.157277701814156,27.976152779142875,42.604276785889425,-94.94698123591604,21.650422360811895,29.566715240478516,29.566715240478516
